Date,Price,
12/08/2014,177.449997,
13/08/2014,178.149994,
13/08/2014,178.699997,
14/08/2014,178.919998,
14/08/2014,179.479996,
15/08/2014,180.149994,
15/08/2014,179.429993,
18/08/2014,180.460007,
18/08/2014,180.919998,
19/08/2014,181.399994,
19/08/2014,181.880005,
20/08/2014,181.660004,
20/08/2014,182.380005,
21/08/2014,182.580002,
21/08/2014,182.899994,
22/08/2014,182.800003,
22/08/2014,182.610001,
25/08/2014,183.539993,
25/08/2014,183.559998,
26/08/2014,183.720001,
26/08/2014,183.710007,
27/08/2014,183.809998,
27/08/2014,183.679993,
28/08/2014,183.020004,
28/08/2014,183.539993,
29/08/2014,183.830002,
29/08/2014,183.990005,
02/09/2014,184.300003,
02/09/2014,183.940002,
03/09/2014,184.649994,
03/09/2014,183.860001,
04/09/2014,184.119995,
04/09/2014,183.559998,
05/09/2014,183.529999,
05/09/2014,184.440002,
08/09/2014,184.240005,
08/09/2014,183.970001,
09/09/2014,183.789993,
09/09/2014,182.779999,
10/09/2014,182.889999,
10/09/2014,183.5,
11/09/2014,182.75,
11/09/2014,183.669998,
12/09/2014,183.490005,
12/09/2014,182.580002,
15/09/2014,182.639999,
15/09/2014,182.460007,
16/09/2014,182.110001,
16/09/2014,183.820007,
17/09/2014,184.110001,
17/09/2014,184.080002,
18/09/2014,184.649994,
18/09/2014,185.039993,
19/09/2014,185.639999,
19/09/2014,184.860001,
22/09/2014,183.699997,
22/09/2014,182.559998,
23/09/2014,181.949997,
23/09/2014,181.529999,
24/09/2014,181.619995,
24/09/2014,182.990005,
25/09/2014,182.5,
25/09/2014,180.050003,
26/09/2014,180.360001,
26/09/2014,181.5,
29/09/2014,179.929993,
29/09/2014,181.139999,
30/09/2014,181.300003,
30/09/2014,180.589996,
01/10/2014,180.339996,
01/10/2014,178.220001,
02/10/2014,178.050003,
02/10/2014,178.210007,
03/10/2014,179.479996,
03/10/2014,180.199997,
06/10/2014,180.940002,
06/10/2014,179.979996,
07/10/2014,179.050003,
07/10/2014,177.220001,
08/10/2014,177.330002,
08/10/2014,180.320007,
09/10/2014,180,
09/10/2014,176.679993,
10/10/2014,176.649994,
10/10/2014,174.699997,
13/10/2014,174.630005,
13/10/2014,171.830002,
14/10/2014,172.729996,
14/10/2014,172.110001,
15/10/2014,169.800003,
15/10/2014,170.830002,
16/10/2014,167.820007,
16/10/2014,170.720001,
17/10/2014,172.729996,
17/10/2014,172.830002,
20/10/2014,172.529999,
20/10/2014,174.529999,
21/10/2014,175.779999,
21/10/2014,177.919998,
22/10/2014,178.289993,
22/10/2014,176.710007,
23/10/2014,178.449997,
23/10/2014,178.740005,
24/10/2014,179.029999,
24/10/2014,180.080002,
27/10/2014,179.509995,
27/10/2014,179.850006,
28/10/2014,180.490005,
28/10/2014,181.919998,
29/10/2014,182.029999,
29/10/2014,181.710007,
30/10/2014,181.169998,
30/10/2014,182.860001,
31/10/2014,185.020004,
31/10/2014,184.929993,
03/11/2014,185.199997,
03/11/2014,185.039993,
04/11/2014,184.559998,
04/11/2014,184.380005,
05/11/2014,185.740005,
05/11/2014,185.589996,
06/11/2014,185.570007,
06/11/2014,186.339996,
07/11/2014,186.339996,
07/11/2014,186.5,
10/11/2014,186.479996,
10/11/2014,187.059998,
11/11/2014,187.139999,
11/11/2014,187.240005,
12/11/2014,186.490005,
12/11/2014,187.089996,
13/11/2014,187.240005,
13/11/2014,187.259995,
14/11/2014,187.190002,
14/11/2014,187.330002,
17/11/2014,186.929993,
17/11/2014,187.429993,
18/11/2014,187.479996,
18/11/2014,188.509995,
19/11/2014,188.25,
19/11/2014,188.169998,
20/11/2014,187.289993,
20/11/2014,188.509995,
21/11/2014,190.429993,
21/11/2014,189.570007,
24/11/2014,190.020004,
24/11/2014,190.059998,
25/11/2014,190.339996,
25/11/2014,190,
26/11/2014,190.100006,
26/11/2014,190.440002,
28/11/2014,190.300003,
28/11/2014,190.029999,
01/12/2014,189.289993,
01/12/2014,188.729996,
02/12/2014,188.710007,
