Date,Price
25/7/2014 16:00:00,181.279999
28/7/2014 9:00:00,181.350006
28/7/2014 16:00:00,181.360001
29/7/2014 9:00:00,181.699997
29/7/2014 16:00:00,180.589996
30/7/2014 9:00:00,181.220001
30/7/2014 16:00:00,180.589996
31/7/2014 9:00:00,179.350006
31/7/2014 16:00:00,176.960007
1/8/2014 9:00:00,176.520004
1/8/2014 16:00:00,176.529999
4/8/2014 9:00:00,176.809998
4/8/2014 16:00:00,177.770004
5/8/2014 9:00:00,177.039993
5/8/2014 16:00:00,175.970001
6/8/2014 9:00:00,175.199997
6/8/2014 16:00:00,176.080002
7/8/2014 9:00:00,176.899994
7/8/2014 16:00:00,175.130005
8/8/2014 9:00:00,175.490005
8/8/2014 16:00:00,177.160004
11/8/2014 9:00:00,177.869995
11/8/2014 16:00:00,177.660004
12/8/2014 9:00:00,177.470001
12/8/2014 16:00:00,177.449997
13/8/2014 9:00:00,178.149994
13/8/2014 16:00:00,178.699997
14/8/2014 9:00:00,178.919998
14/8/2014 16:00:00,179.479996
15/8/2014 9:00:00,180.149994
15/8/2014 16:00:00,179.429993
18/8/2014 9:00:00,180.460007
18/8/2014 16:00:00,180.919998
19/8/2014 9:00:00,181.399994
19/8/2014 16:00:00,181.880005
20/8/2014 9:00:00,181.660004
20/8/2014 16:00:00,182.380005
21/8/2014 9:00:00,182.580002
21/8/2014 16:00:00,182.899994
22/8/2014 9:00:00,182.800003
22/8/2014 16:00:00,182.610001
25/8/2014 9:00:00,183.539993
25/8/2014 16:00:00,183.559998
26/8/2014 9:00:00,183.720001
26/8/2014 16:00:00,183.710007
27/8/2014 9:00:00,183.809998
27/8/2014 16:00:00,183.679993
28/8/2014 9:00:00,183.020004
28/8/2014 16:00:00,183.539993
29/8/2014 9:00:00,183.830002
29/8/2014 16:00:00,183.990005
2/9/2014 9:00:00,184.300003
2/9/2014 16:00:00,183.940002
3/9/2014 9:00:00,184.649994
3/9/2014 16:00:00,183.860001
4/9/2014 9:00:00,184.119995
4/9/2014 16:00:00,183.559998
